Date,Country,Platform,Subscription_Type,Sales_EUR,Orders,Subscribers,Proceeds_EUR
2022-01,ALL,Google,Unknown,11336.27,0,0,0
2022-02,ALL,Google,Unknown,13790.33,0,0,0
2022-03,ALL,Google,Unknown,17344.05,0,0,0
2022-04,ALL,Google,Unknown,19254.92,0,0,0
2022-05,ALL,Google,Unknown,20453.45,0,0,0
2024-01,AE,Apple,1,1.0,1,0,0
2024-01,AE,Apple,1F,25.0,25,0,0
2024-01,AE,Apple,3,81.0,81,0,0
2024-01,AE,Apple,3F,51.0,51,0,0
2024-01,AE,Apple,7T,43.0,43,0,0
2024-01,AF,Apple,1F,1.0,1,0,0
2024-01,AL,Apple,1,1.0,1,0,0
2024-01,AL,Apple,1F,1.0,1,0,0
2024-01,AL,Apple,3,7.0,7,0,0
2024-01,ALL,Apple,1,1.0,1,0,0
2024-01,ALL,Apple,3,7.0,7,0,0
2024-01,ALL,Apple,3F,1.0,1,0,0
2024-01,AM,Apple,3,1.0,1,0,0
2024-01,AO,Apple,1,1.0,1,0,0
2024-01,AO,Apple,3,1.0,1,0,0
2024-01,AR,Apple,1,6.0,6,0,0
2024-01,AR,Apple,1F,32.0,32,0,0
2024-01,AR,Apple,3,73.0,73,0,0
2024-01,AR,Apple,3F,44.0,44,0,0
2024-01,AR,Apple,3T,5.0,5,0,0
2024-01,AR,Apple,7,1.0,1,0,0
2024-01,AR,Apple,7F,1.0,1,0,0
2024-01,AT,Apple,1,21.0,21,0,0
2024-01,AT,Apple,1F,69.0,69,0,0
2024-01,AT,Apple,3,1288.0,1288,0,0
2024-01,AT,Apple,3F,100.0,100,0,0
2024-01,AT,Apple,3T,12.0,12,0,0
2024-01,AT,Apple,7,8.0,8,0,0
2024-01,AT,Apple,7F,3.0,3,0,0
2024-01,AT,Apple,7T,139.0,139,0,0
2024-01,AU,Apple,1,12.0,12,0,0
2024-01,AU,Apple,1F,192.0,192,0,0
2024-01,AU,Apple,3,861.0,861,0,0
2024-01,AU,Apple,3F,243.0,243,0,0
2024-01,AU,Apple,3T,6.0,6,0,0
2024-01,AU,Apple,7,21.0,21,0,0
2024-01,AU,Apple,7F,12.0,12,0,0
2024-01,AU,Apple,7T,8.0,8,0,0
2024-01,AZ,Apple,1,1.0,1,0,0
2024-01,AZ,Apple,3,6.0,6,0,0
2024-01,AZ,Apple,3F,1.0,1,0,0
2024-01,BA,Apple,1,2.0,2,0,0
2024-01,BA,Apple,1F,5.0,5,0,0
2024-01,BA,Apple,3,1.0,1,0,0
2024-01,BE,Apple,1,13.0,13,0,0
2024-01,BE,Apple,1F,90.0,90,0,0
2024-01,BE,Apple,3,230.0,230,0,0
2024-01,BE,Apple,3F,129.0,129,0,0
2024-01,BE,Apple,3T,5.0,5,0,0
2024-01,BE,Apple,7,58.0,58,0,0
2024-01,BG,Apple,1,15.0,15,0,0
2024-01,BG,Apple,1F,7.0,7,0,0
2024-01,BG,Apple,3,93.0,93,0,0
2024-01,BG,Apple,3F,8.0,8,0,0
2024-01,BG,Apple,3T,1.0,1,0,0
2024-01,BJ,Apple,1F,1.0,1,0,0
2024-01,BN,Apple,3,6.0,6,0,0
2024-01,BO,Apple,3,1.0,1,0,0
2024-01,BR,Apple,1,19.0,19,0,0
2024-01,BR,Apple,1F,39.0,39,0,0
2024-01,BR,Apple,3,339.0,339,0,0
2024-01,BR,Apple,3F,61.0,61,0,0
2024-01,BR,Apple,3T,3.0,3,0,0
2024-01,BR,Apple,7,11.0,11,0,0
2024-01,BR,Apple,7F,1.0,1,0,0
2024-01,BW,Apple,1,1.0,1,0,0
2024-01,BW,Apple,3,1.0,1,0,0
2024-01,BY,Apple,1F,1.0,1,0,0
2024-01,BY,Apple,3,16.0,16,0,0
2024-01,BY,Apple,3F,2.0,2,0,0
2024-01,CA,Apple,1,20.0,20,0,0
2024-01,CA,Apple,1F,122.0,122,0,0
2024-01,CA,Apple,3,673.0,673,0,0
2024-01,CA,Apple,3F,321.0,321,0,0
2024-01,CA,Apple,3T,3.0,3,0,0
2024-01,CA,Apple,7,4.0,4,0,0
