Date,Country,Platform,Subscription_Type,Revenue_EUR,Orders
2026-04,AE,Apple,Monthly,29.12,3
2026-04,AR,Apple,Monthly,64.94,24
2026-04,AR,Apple,Yearly,73.93,5
2026-04,AT,Apple,Monthly,49.42,22
2026-04,AT,Apple,Yearly,105.51,5
2026-04,AU,Apple,Monthly,135.00,41
2026-04,AU,Apple,Yearly,135.98,8
2026-04,AZ,Apple,Monthly,3.23,1
2026-04,BE,Apple,Monthly,21.06,8
2026-04,BE,Apple,Yearly,21.77,4
2026-04,BF,Apple,Monthly,3.82,1
2026-04,BG,Apple,Monthly,24.01,9
2026-04,BG,Apple,Yearly,45.31,3
2026-04,BH,Apple,Monthly,3.86,1
2026-04,BO,Apple,Monthly,3.82,1
2026-04,BR,Apple,Monthly,614.26,55
2026-04,BR,Apple,Yearly,534.44,10
2026-04,BS,Apple,Monthly,3.86,1
2026-04,BY,Apple,Monthly,7.78,3
2026-04,CA,Apple,Monthly,81.44,25
2026-04,CA,Apple,Yearly,193.74,9
2026-04,CG,Apple,Monthly,3.82,1
2026-04,CH,Apple,Monthly,74.34,38
2026-04,CH,Apple,Yearly,182.82,13
2026-04,CL,Apple,Monthly,29976.00,14
2026-04,CL,Apple,Yearly,44636.00,2
2026-04,CN,Apple,Monthly,78.63,3
2026-04,CN,Apple,Yearly,337.25,4
2026-04,CO,Apple,Monthly,93857.16,6
2026-04,CO,Apple,Yearly,92785.71,1
2026-04,CR,Apple,Monthly,34.38,9
2026-04,CR,Apple,Yearly,25.49,2
2026-04,CY,Apple,Monthly,7.12,2
2026-04,CZ,Apple,Monthly,4893.48,177
2026-04,CZ,Apple,Yearly,5444.24,42
2026-04,DE,Apple,Monthly,149.52,117
2026-04,DE,Apple,Yearly,255.96,45
2026-04,DK,Apple,Monthly,1140.36,166
2026-04,DK,Apple,Yearly,1272.96,19
2026-04,EC,Apple,Monthly,3.82,1
2026-04,EC,Apple,Yearly,25.49,2
2026-04,EE,Apple,Monthly,64.98,25
2026-04,EE,Apple,Yearly,102.08,6
2026-04,ES,Apple,Monthly,117.83,68
2026-04,ES,Apple,Yearly,202.09,19
2026-04,FI,Apple,Monthly,344.76,1522
2026-04,FI,Apple,Yearly,671.68,298
2026-04,FR,Apple,Monthly,116.49,65
2026-04,FR,Apple,Yearly,171.34,18
2026-04,GB,Apple,Monthly,112.80,92
2026-04,GB,Apple,Yearly,109.43,13
2026-04,GR,Apple,Monthly,17.10,5
2026-04,GR,Apple,Yearly,42.48,3
2026-04,GT,Apple,Monthly,3.82,1
2026-04,HK,Apple,Monthly,32.30,1
2026-04,HK,Apple,Yearly,193.80,1
2026-04,HN,Apple,Monthly,3.82,1
2026-04,HR,Apple,Monthly,47.86,17
2026-04,HR,Apple,Yearly,41.82,4
2026-04,HU,Apple,Monthly,24370.00,36
2026-04,HU,Apple,Yearly,16384.00,6
2026-04,ID,Apple,Monthly,114864.00,2
2026-04,IE,Apple,Monthly,37.95,12
2026-04,IL,Apple,Monthly,239.80,26
2026-04,IL,Apple,Yearly,567.24,10
2026-04,IN,Apple,Monthly,1566.73,5
2026-04,IN,Apple,Yearly,2160.30,1
2026-04,IS,Apple,Monthly,49.66,19
2026-04,IS,Apple,Yearly,24.22,1
2026-04,IT,Apple,Monthly,114.18,52
2026-04,IT,Apple,Yearly,146.36,16
2026-04,JP,Apple,Monthly,1275.00,3
2026-04,JP,Apple,Yearly,2550.00,1
2026-04,KG,Apple,Monthly,3.79,1
2026-04,KR,Apple,Monthly,4636.00,1
2026-04,KR,Apple,Yearly,34000.00,1
2026-04,KZ,Apple,Monthly,6418.96,7
2026-04,KZ,Apple,Yearly,36469.40,1
2026-04,LB,Apple,Monthly,3.82,1
2026-04,LK,Apple,Monthly,3.82,1
2026-04,LT,Apple,Monthly,24.57,7
2026-04,LT,Apple,Yearly,63.91,4
2026-04,LU,Apple,Monthly,7.26,4
2026-04,LU,Apple,Yearly,21.06,1
2026-04,LV,Apple,Monthly,14.04,5
2026-04,LV,Apple,Yearly,43.54,2
2026-04,MA,Apple,Monthly,3.82,1
2026-04,ME,Apple,Monthly,6.78,2
2026-04,MG,Apple,Monthly,3.82,1
2026-04,MK,Apple,Yearly,25.49,1
2026-04,MO,Apple,Monthly,3.82,1
2026-04,MX,Apple,Monthly,1011.24,15
2026-04,MY,Apple,Monthly,115.15,7
2026-04,MY,Apple,Yearly,102.24,1
2026-04,NL,Apple,Monthly,94.77,54
2026-04,NL,Apple,Yearly,127.12,15
2026-04,NO,Apple,Monthly,1734.00,167
