Event Date	Event	App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Standard Subscription Duration	Subscription Offer Name	Promotional Offer ID	Subscription Offer Type	Subscription Offer Duration	Marketing Opt-In	Marketing Opt-In Duration	Preserved Pricing	Proceeds Reason	Consecutive Paid Periods	Original Start Date	Client	Device	State	Country	Previous Subscription Name	Previous Subscription Apple ID	Days Before Canceling	Cancellation Reason	Days Canceled	Quantity	Paid Service Days Recovered
2026-04-01	Paid Subscription from Introductory Offer	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly 14d	6747804431	21069661	1 Year	 	 	Free Trial	2 Weeks		 			1	2026-03-18		iPhone	 	FI		 	 	 	 	1	 
2026-03-31	Start Introductory Offer	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month	 	 	Free Trial	2 Weeks		 			0	2026-03-31		iPhone	 	FI		 	 	 	 	14	 
2026-03-31	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 		Rate After One Year	19	2024-08-31		iPhone	 	DE		 	 	 	 	1	 
2026-03-31	Renewal from Billing Retry	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			9	2025-06-01		iPhone	 	FI		 	 	 	 	1	 
2026-03-31	Upgrade	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year	 	 				 		Rate After One Year	31	2023-09-10		iPhone	 	RU	Sports Tracker Premium Monthly	6444886816	 	 	 	1	 
2026-03-31	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			9	2025-07-31		iPhone	 	FI		 	 	 	 	1	 
2026-03-31	Start Introductory Offer	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly 14d	6747804431	21069661	1 Year	 	 	Free Trial	2 Weeks		 			0	2026-03-31		iPhone	 	EC		 	 	 	 	1	 
2026-03-31	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			10	2025-05-31		iPhone	AZ	US		 	 	 	 	1	 
2026-03-31	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 		Rate After One Year	15	2024-12-31		iPad	 	FI		 	 	 	 	1	 
2026-03-31	Renewals from Grace Period	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			10	2025-06-07		iPhone	 	FI		 	 	 	 	1	2
2026-03-31	Start Introductory Offer	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly 14d	6747804431	21069661	1 Year	 	 	Free Trial	2 Weeks		 			0	2026-03-31		iPhone	 	CH		 	 	 	 	1	 
