Event Date	App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Standard Subscription Duration	Subscription Offer Name	Promotional Offer ID	Subscription Offer Type	Subscription Offer Duration	Marketing Opt-In Duration	Customer Price	Customer Currency	Developer Proceeds	Proceeds Currency	Preserved Pricing	Proceeds Reason	Client	Device	Country	Subscriber ID	Subscriber ID Reset	Refund	Purchase Date	Units
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						169.00	THB	134.25	THB	 	Rate After One Year	 	iPhone	TH	217729369083102				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						39.00	DKK	26.52	DKK	 	Rate After One Year	 	iPhone	DK	483620824443927				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						30.99	EUR	20.99	EUR	 	Rate After One Year	 	iPhone	FI	273715803710281				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	Rate After One Year	 	iPhone	FI	539533987002411				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						11490.00	HUF	7690.00	HUF	 	Rate After One Year	 	iPhone	HU	441705723597140				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						139.99	PLN	96.74	PLN	 	Rate After One Year	 	iPhone	PL	455608844025008				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month			Free Trial	2 Weeks		0.00	GBP	0.00	GBP	 	 	 	iPhone	GB	203703958792070				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						129.00	CZK	90.62	CZK	 	Rate After One Year	 	iPhone	CZ	777564919476305				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	Rate After One Year	 	iPhone	FI	245609993767728				1
2026-05-12	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	Rate After One Year	 	iPhone	FI	154587061522378				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						29.49	EUR	20.89	EUR	 	Rate After One Year	 	iPhone	AT	518492513861072				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						29.49	EUR	21.06	EUR	 	Rate After One Year	 	iPhone	DE	525662891774043				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						30.99	EUR	20.99	EUR	 	Rate After One Year	 	iPhone	FI	539534910185462				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month						3.99	GBP	2.82	GBP	 	 	 	iPhone	GB	455608848119266				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						139.99	PLN	96.74	PLN	 	Rate After One Year	 	iPhone	PL	259749806424789				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.49	USD	3.82	USD	 	Rate After One Year	 	iPhone	US	483620832065380				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						39.00	DKK	26.52	DKK	 	 	 	iPhone	DK	532629476526548				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	Rate After One Year	 	iPhone	FI	238736774991066				1
2026-05-12	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	 	 	iPhone	FI	161707315332180				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						30.99	EUR	20.99	EUR	 	Rate After One Year	 	iPhone	FI	455608839070198				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	Rate After One Year	 	iPhone	FI	770512090512628				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month			Free Trial	2 Weeks		0.00	EUR	0.00	EUR	 	 	 	iPhone	FI	616643979152294				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						29.49	EUR	20.21	EUR	 	Rate After One Year	 	iPhone	EE	700515406442154				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						39.00	DKK	26.52	DKK	 	Rate After One Year	 	iPhone	DK	672521337097822				1
2026-05-10	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						29.99	EUR	21.07	EUR	 	Rate After One Year	 	iPhone	NL	665604083025884				1
2026-05-12	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						28.49	USD	24.22	USD	 	Rate After One Year	 	iPhone	AR	546558953104789				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						29.49	EUR	20.89	EUR	 	Rate After One Year	 	iPhone	AT	154587460316683				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						305.00	SEK	207.40	SEK	 	Rate After One Year	 	iPhone	SE	658528659673677				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month						4.99	EUR	3.56	EUR	 	 	 	iPhone	DE	238736729117987				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.45	EUR	 	Rate After One Year	 	iPhone	SK	238736728294766				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						30.99	EUR	20.99	EUR	 	Rate After One Year	 	iPhone	FI	420714848337898				1
2026-05-12	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.49	USD	3.82	USD	 	Rate After One Year	 	iPhone	US	196625695999903				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						50.00	SEK	34.00	SEK	 	Rate After One Year	 	iPhone	SE	700514444343240				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						29.99	EUR	20.81	EUR	 	Rate After One Year	 	iPhone	IT	546558942873414				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						299.00	NOK	203.32	NOK	 	Rate After One Year	 	iPhone	NO	560607292749366				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						28.49	USD	24.22	USD	 	Rate After One Year	 	iPhone	US	420714852819452				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	Rate After One Year	 	iPhone	FI	574654708041563				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month						1990.00	HUF	1332.00	HUF	 	 	 	iPhone	HU	679505033464938				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly 14d	6747804431	21069661	1 Year			Free Trial	2 Weeks		0.00	EUR	0.00	EUR	 	 	 	iPhone	NL	266707716604261				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	Rate After One Year	 	iPhone	FI	518491567837756				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						30.99	EUR	20.99	EUR	 	Rate After One Year	 	iPhone	FI	238737904445889				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.49	USD	3.82	USD	 	Rate After One Year	 	iPhone	US	434698138617766				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						24.99	GBP	17.65	GBP	 	Rate After One Year	 	iPhone	GB	252676419790762				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						129.00	CZK	90.62	CZK	 	Rate After One Year	 	iPhone	CZ	588641590371179				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						39.00	DKK	26.52	DKK	 	Rate After One Year	 	iPhone	DK	273715192141141				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	Rate After One Year	 	iPhone	FI	469633705736785				1
2026-05-11	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						229.00	DKK	155.72	DKK	 	Rate After One Year	 	iPhone	DK	581615230043066				1
