Event Date	Event	App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Standard Subscription Duration	Subscription Offer Name	Promotional Offer ID	Subscription Offer Type	Subscription Offer Duration	Marketing Opt-In	Marketing Opt-In Duration	Preserved Pricing	Proceeds Reason	Consecutive Paid Periods	Original Start Date	Client	Device	State	Country	Previous Subscription Name	Previous Subscription Apple ID	Days Before Canceling	Cancellation Reason	Days Canceled	Quantity	Paid Service Days Recovered
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year	 	 				 		Rate After One Year	4	2023-05-11		iPhone	 	DE		 	 	 	 	1	 
2026-05-11	Grace Period from Paid Subscription	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			3	2026-02-11		iPhone	 	FI		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			12	2025-05-11		iPhone	 	NL		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year	 	 				 		Rate After One Year	2	2025-04-11		iPhone	 	NO		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month	 	 				 			2	2026-04-11		iPhone	 	DE		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year	 	 				 		Rate After One Year	4	2023-04-11		iPhone	NC	US		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year	 	 				 		Rate After One Year	4	2023-04-11		iPhone	 	FI		 	 	 	 	29	 
2026-05-12	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			12	2025-05-12		iPhone	 	FI		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			8	2025-09-11		iPhone	 	FI		 	 	 	 	1	 
2026-05-11	Cancel	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 		Rate After One Year	13	2025-03-11		iPhone	 	FI		 	397	Canceled	 	1	 
2026-05-11	Cancel	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month	 	 				 			2	2026-03-11		iPhone	 	FI		 	36	Canceled	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year	 	 				 		Rate After One Year	2	2025-05-11		iPhone	 	FI		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month	 	 				 			8	2025-09-27		iPhone	KY	US		 	 	 	 	1	 
2026-05-11	Crossgrade from Grace Period	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 		Rate After One Year	22	2024-08-11		iPhone	 	FI	Sports Tracker Premium Monthly	6444886816	 	 	 	1	1
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month	 	 				 			10	2025-07-28		iPhone	 	FI		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year	 	 				 		Rate After One Year	2	2025-04-11		iPhone	BO	IT		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 		Rate After One Year	16	2025-02-11		iPhone	NY	US		 	 	 	 	1	 
2026-05-11	Cancel	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			3	2026-02-11		iPhone	MA	US		 	64	Canceled	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year	 	 				 		Rate After One Year	2	2025-05-11		iPhone	 	AT		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year	 	 				 		Rate After One Year	4	2023-04-11		iPhone	CMX	MX		 	 	 	 	1	 
2026-05-11	Subscribe	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly 14d	6747804431	21069661	1 Year	 	 				 			1	2026-05-11		iPhone	AB	CA		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 		Rate After One Year	23	2024-06-11		iPhone	 	FI		 	 	 	 	1	 
2026-05-11	Crossgrade from Grace Period	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			6	2025-09-16		iPhone	 	RO	Sports Tracker Premium Monthly	6444886816	 	 	 	1	1
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 		Rate After One Year	25	2024-04-11		iPhone	OH	US		 	 	 	 	1	 
2026-05-11	Billing Retry from Grace Period	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 	Free Trial	1 Month		 			2	2026-01-25		iPhone	 	FI		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			13	2025-01-07		iPhone	 	FI		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			10	2025-07-11		iPhone	NC	US		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 		Rate After One Year	37	2023-04-11		iPhone	NC	US		 	 	 	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 		Rate After One Year	37	2023-04-11		iPhone	6	IS		 	 	 	 	1	 
2026-05-11	Cancel	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month	 	 				 			1	2026-04-11		iPhone	MS	BR		 	10	Canceled	 	1	 
2026-05-11	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 		Rate After One Year	30	2023-11-11		iPhone	SP	BR		 	 	 	 	1	 
2026-05-11	Cancel	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			8	2025-09-11		iPhone	 	FI		 	227	Canceled	 	1	 
