Date,Platform,Subscription_Type,Sales_EUR,Subscribers
2024-01,Apple,Monthly,13989.0,2640.0
2024-01,Apple,Yearly,9230.0,290.0
2024-01,Google,Monthly,10862.53,3486.0
2024-01,Google,Yearly,10363.29,484.0
2024-02,Apple,Monthly,14854.0,2834.0
2024-02,Apple,Yearly,13764.0,435.0
2024-02,Google,Monthly,11092.869999999999,3565.0
2024-02,Google,Yearly,12489.23,581.0
2024-03,Apple,Monthly,15637.0,2989.0
2024-03,Apple,Yearly,11409.0,362.0
2024-03,Google,Monthly,11456.109999999999,3681.0
2024-03,Google,Yearly,23820.79,1095.0
2024-04,Apple,Monthly,16963.0,3263.0
2024-04,Apple,Yearly,12212.0,392.0
2024-04,Google,Monthly,11661.32,3737.0
2024-04,Google,Yearly,29571.809999999998,1365.0
2024-05,Apple,Monthly,18323.0,3556.0
2024-05,Apple,Yearly,68809.0,2200.0
2024-05,Google,Monthly,12469.189999999999,3990.0
2024-05,Google,Yearly,27402.09,1281.0
2024-06,Apple,Monthly,20136.0,3855.0
2024-06,Apple,Yearly,33428.0,1060.0
2024-06,Google,Monthly,13097.900000000001,4182.0
2024-06,Google,Yearly,23722.55,1116.0
2024-07,Apple,Monthly,20756.0,4029.0
2024-07,Apple,Yearly,25938.0,830.0
2024-07,Google,Monthly,13954.359999999999,4444.0
2024-07,Google,Yearly,21092.12,982.0
2024-08,Apple,Monthly,22049.0,4233.0
2024-08,Apple,Yearly,24446.0,775.0
2024-08,Google,Monthly,14334.0,4586.0
2024-08,Google,Yearly,20222.58,959.0
2024-09,Apple,Monthly,22622.0,4238.0
2024-09,Apple,Yearly,21496.0,671.0
2024-09,Google,Monthly,14312.09,4569.0
2024-09,Google,Yearly,17435.65,809.0
2024-10,Apple,Monthly,21950.0,4111.0
2024-10,Apple,Yearly,16006.0,504.0
2024-10,Google,Monthly,14045.529999999999,4504.0
2024-10,Google,Yearly,17179.190000000002,801.0
2024-11,Apple,Monthly,20106.0,3872.0
2024-11,Apple,Yearly,12353.0,403.0
2024-11,Google,Monthly,13468.17,4353.0
2024-11,Google,Yearly,12514.99,605.0
2024-12,Apple,Monthly,18446.0,3662.0
2024-12,Apple,Yearly,9269.0,321.0
2024-12,Google,Monthly,13073.74,4243.0
2024-12,Google,Yearly,11038.970000000001,540.0
2025-01,Apple,Monthly,17888.0,3565.0
2025-01,Apple,Yearly,13081.0,430.0
2025-01,Google,Monthly,12708.43,4120.0
2025-01,Google,Yearly,11908.48,584.0
2025-02,Apple,Monthly,17928.0,3587.0
2025-02,Apple,Yearly,16637.0,548.0
2025-02,Google,Monthly,12738.58,4105.0
2025-02,Google,Yearly,13865.04,645.0
2025-03,Apple,Monthly,18677.0,3682.0
2025-03,Apple,Yearly,15643.0,510.0
2025-03,Google,Monthly,13252.87,4279.0
2025-03,Google,Yearly,23667.579999999998,1090.0
2025-04,Apple,Monthly,19796.0,3810.0
2025-04,Apple,Yearly,17808.0,567.0
2025-04,Google,Monthly,13304.13,4326.0
2025-04,Google,Yearly,28362.79,1320.0
2025-05,Apple,Monthly,24214.0,2235.0
2025-05,Apple,Yearly,73393.0,1108.0
2025-05,Google,Monthly,13914.56,4513.0
2025-05,Google,Yearly,25936.16,1207.0
2025-06,Apple,Monthly,22315.0,3901.0
2025-06,Apple,Yearly,35191.0,1018.0
2025-06,Google,Monthly,14053.97,4570.0
2025-06,Google,Yearly,22441.34,1062.0
2025-07,Apple,Monthly,23284.0,4191.0
2025-07,Apple,Yearly,28910.0,855.0
2025-07,Google,Monthly,13975.49,4552.0
2025-07,Google,Yearly,19874.059999999998,935.0
2025-08,Apple,Monthly,23823.0,4315.0
2025-08,Apple,Yearly,31886.0,957.0
2025-08,Google,Monthly,14264.140000000001,4648.0
2025-08,Google,Yearly,19981.73,953.0
2025-09,Apple,Monthly,23259.0,4190.0
2025-09,Apple,Yearly,25392.0,762.0
2025-09,Google,Monthly,14069.08,4583.0
2025-09,Google,Yearly,16793.41,787.0
2025-10,Apple,Monthly,23210.0,4126.0
2025-10,Apple,Yearly,25586.0,746.0
2025-10,Google,Monthly,13995.74,4563.0
2025-10,Google,Yearly,15189.68,724.0
2025-11,Apple,Monthly,21781.0,3924.0
2025-11,Apple,Yearly,20539.0,613.0
2025-11,Google,Monthly,13551.220000000001,4412.0
2025-11,Google,Yearly,10934.2,551.0
2025-12,Apple,Monthly,20871.0,3769.0
2025-12,Apple,Yearly,15877.0,489.0
2025-12,Google,Monthly,13379.08,4382.0
2025-12,Google,Yearly,10380.99,512.0
2026-01,Apple,Monthly,22472.0,3701.0
2026-01,Apple,Yearly,26491.0,710.0
2026-01,Google,Monthly,13141.72,4291.0
2026-01,Google,Yearly,10909.85,524.0
2026-02,Apple,Monthly,20215.0,3554.0
2026-02,Apple,Yearly,23162.0,663.0
2026-02,Google,Monthly,13082.33,4261.0
2026-02,Google,Yearly,13999.009999999998,660.0
2026-03,Apple,Monthly,20388.0,3597.0
2026-03,Apple,Yearly,30558.0,880.0
2026-03,Google,Monthly,13534.93,4403.0
2026-03,Google,Yearly,23881.08,1106.0
